listing_id,price,nbhood_full,State
3627589,34,Brooklyn, Bedford-Stuyvesant
3628328,87,Bronx, Concourse Village
3628553,125,Queens, Queens Village
3630304,80,Queens, Sunnyside
3630309,95,Queens, Sunnyside
3632258,150,Manhattan, Morningside Heights
3634361,140,Brooklyn, Windsor Terrace
3635348,150,Brooklyn, Bedford-Stuyvesant
3636601,95,Manhattan, Chelsea
3638841,100,Brooklyn, Sunset Park
3641819,175,Brooklyn, Prospect Heights
3642801,80,Brooklyn, Prospect-Lefferts Gardens
3643392,69,Brooklyn, Bedford-Stuyvesant
3644017,85,Queens, Ditmars Steinway
3645284,160,Manhattan, Upper East Side
3652230,113,Queens, Rockaway Beach
3653996,110,Manhattan, Hell's Kitchen
3655367,81,Brooklyn, Crown Heights
3659544,69,Manhattan, Hell's Kitchen
3662724,175,Manhattan, Upper East Side
3662795,49,Brooklyn, Midwood
3662827,191,Manhattan, Nolita
3663178,216,Brooklyn, Crown Heights
3663984,118,Manhattan, Upper East Side
3664439,95,Manhattan, Midtown
3666653,170,Brooklyn, Bay Ridge
3666709,99,Manhattan, Upper East Side
3670659,172,Brooklyn, Bedford-Stuyvesant
3673938,50,Brooklyn, Bedford-Stuyvesant
3674757,77,Brooklyn, Bedford-Stuyvesant
3675957,125,Brooklyn, Navy Yard
3677769,75,Queens, Sunnyside
3678064,55,Brooklyn, Crown Heights
3678796,99,Brooklyn, Bedford-Stuyvesant
3678990,70,Manhattan, Washington Heights
3684144,55,Brooklyn, Bushwick
3684302,100,Brooklyn, Crown Heights
3685704,95,Brooklyn, Bedford-Stuyvesant
3686972,200,Manhattan, Upper West Side
3688168,400,Brooklyn, Fort Greene
3689140,197,Manhattan, West Village
3696043,75,Brooklyn, Brownsville
3696746,180,Manhattan, Gramercy
3697432,73,Manhattan, Upper East Side
3698111,87,Manhattan, Upper East Side
3698241,74,Manhattan, Upper East Side
3700364,199,Manhattan, Greenwich Village
3704067,175,Brooklyn, Clinton Hill
3710436,199,Brooklyn, Bedford-Stuyvesant
3710685,100,Queens, Sunnyside
3711039,45,Queens, Astoria
3715638,72,Manhattan, East Harlem
3715824,129,Manhattan, East Village
3716193,100,Brooklyn, Bedford-Stuyvesant
